date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:49:33	377/377	---M--	200	added ('OK')	image/png	etag:%22640ebd4a-2c1ee%22	https://images.news18.com/ibnkhabar/uploads/2023/03/ramnam-16786875623x2.jpg?impolicy=website&width=102&height=68?impolicy=website&width=10&height=10	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/03/ramnam-16786875623x272f8.png	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:34	4085/4085	---M--	200	added ('OK')	image/jpeg	etag:%22640ebd4a-2c1ee%22	https://images.news18.com/ibnkhabar/uploads/2023/03/ramnam-16786875623x2.jpg?impolicy=website&width=102&height=68?impolicy=website&width=102&height=68	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/03/ramnam-16786875623x2a4e0.jpg	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:34	312/312	---M--	200	added ('OK')	image/gif	etag:%226413810c-26c43%22	https://images.news18.com/ibnkhabar/uploads/2023/03/1678999819_81617809-15c5-4ad8-ac8f-8f70b2334098-16789998203x2.jpeg?impolicy=website&width=102&height=68?impolicy=website&width=10&height=10	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/03/1678999819_81617809-15c5-4ad8-ac8f-8f70b2334098-16789998203x272f8.gif	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:35	4823/4823	---M--	200	added ('OK')	image/jpeg	etag:%226413810c-26c43%22	https://images.news18.com/ibnkhabar/uploads/2023/03/1678999819_81617809-15c5-4ad8-ac8f-8f70b2334098-16789998203x2.jpeg?impolicy=website&width=102&height=68?impolicy=website&width=102&height=68	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/03/1678999819_81617809-15c5-4ad8-ac8f-8f70b2334098-16789998203x2a4e0.jpg	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:35	377/377	---M--	200	added ('OK')	image/png	etag:%2263b3f320-2b44e%22	https://images.news18.com/ibnkhabar/uploads/2023/01/Aaj-Ka-Rashifal-3-16727375683x2.jpg?impolicy=website&width=102&height=68?impolicy=website&width=10&height=10	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/01/Aaj-Ka-Rashifal-3-16727375683x272f8.png	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:36	4793/4793	---M--	200	added ('OK')	image/jpeg	etag:%2263b3f320-2b44e%22	https://images.news18.com/ibnkhabar/uploads/2023/01/Aaj-Ka-Rashifal-3-16727375683x2.jpg?impolicy=website&width=102&height=68?impolicy=website&width=102&height=68	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/01/Aaj-Ka-Rashifal-3-16727375683x2a4e0.jpg	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:36	6115/6115	---M--	200	added ('OK')	image/jpeg	etag:%226128aea3-3d71%22	https://images.news18.com/ibnkhabar/uploads/2021/08/News18_Hindi_logo_1600x900.png?im=FitAndFill,width=1200,height=675	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2021/08/News18_Hindi_logo_1600x900b325.jpg	(from https://hindi.news18.com/news/bihar/)
03:49:37	1683/1683	---M-Z	200	added ('OK')	image/png	etag:%225fd06858-693%22	https://images.hindi.news18.com/ibnkhabar/uploads/assets/event/common/images/srchstcticon_1607493720.png	C:/My%20Web%20Sites/ttyyu/images.hindi.news18.com/ibnkhabar/uploads/assets/event/common/images/srchstcticon_1607493720.png	(from https://hindi.news18.com/news/bihar/)
03:49:38	1532/1532	---M-Z	200	added ('OK')	image/png	etag:%22597f0fe0-5fc%22	https://static.hindi.news18.com/ibnkhabar/uploads/assests/img/photo-ss.png	C:/My%20Web%20Sites/ttyyu/static.hindi.news18.com/ibnkhabar/uploads/assests/img/photo-ss.png	(from https://hindi.news18.com/news/bihar/)
03:49:38	2701/2701	---M-Z	200	added ('OK')	image/png	etag:%225e7a3d3a-a8d%22	https://images.hindi.news18.com/ibnkhabar/uploads/2020/03/Hindi1.png	C:/My%20Web%20Sites/ttyyu/images.hindi.news18.com/ibnkhabar/uploads/2020/03/Hindi1.png	(from https://hindi.news18.com/news/bihar/)
03:49:39	657576/657576	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2022:19:42%20GMT	https://hindi.news18.com/news/bihar/patna/	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/patna/index.html	(from https://hindi.news18.com/news/bihar/)
03:49:40	665793/665793	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Mar%202023%2022:19:42%20GMT	https://hindi.news18.com/news/bihar/arwal/	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/arwal/index.html	(from https://hindi.news18.com/news/bihar/)
03:49:40	15976/15976	---M--	200	added ('OK')	image/jpeg	etag:%2264130799-4604b%22	https://images.news18.com/ibnkhabar/uploads/2023/03/2654851_HYP_0_FEATURE1678961360520.jpg?impolicy=website&width=561&height=187	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/2023/03/2654851_HYP_0_FEATURE1678961360520afe6.jpg	(from https://hindi.news18.com/news/bihar/)
